date,hour,level_,flow_m3s
08.02.2026 , 18 , 76 , 7.201
08.02.2026 , 17 , 76 , 7.201
08.02.2026 , 16 , 76 , 7.201
08.02.2026 , 15 , 76 , 7.201
08.02.2026 , 14 , 76 , 7.201
08.02.2026 , 13 , 76 , 7.201
08.02.2026 , 12 , 76 , 7.201
08.02.2026 , 11 , 76 , 7.201
08.02.2026 , 10 , 77 , 7.344
08.02.2026 , 9 , 76 , 7.201
08.02.2026 , 8 , 77 , 7.344
08.02.2026 , 7 , 76 , 7.201
08.02.2026 , 6 , 75 , 7.061
08.02.2026 , 5 , 76 , 7.201
08.02.2026 , 4 , 75 , 7.061
08.02.2026 , 3 , 75 , 7.061
08.02.2026 , 2 , 75 , 7.061
08.02.2026 , 1 , 74 , 6.921
08.02.2026 , 0 , 76 , 7.201
07.02.2026 , 23 , 75 , 7.061
07.02.2026 , 22 , 75 , 7.061
07.02.2026 , 21 , 75 , 7.061
07.02.2026 , 20 , 76 , 7.201
07.02.2026 , 19 , 77 , 7.344
07.02.2026 , 18 , 75 , 7.061
07.02.2026 , 17 , 75 , 7.061
07.02.2026 , 16 , 76 , 7.201
07.02.2026 , 15 , 76 , 7.201
07.02.2026 , 14 , 75 , 7.061
07.02.2026 , 13 , 75 , 7.061
07.02.2026 , 12 , 75 , 7.061
07.02.2026 , 11 , 75 , 7.061
07.02.2026 , 10 , 74 , 6.921
07.02.2026 , 9 , 75 , 7.061
07.02.2026 , 8 , 76 , 7.201
07.02.2026 , 7 , 72 , 6.648
07.02.2026 , 6 , 76 , 7.201
07.02.2026 , 5 , 76 , 7.201
07.02.2026 , 4 , 75 , 7.061
07.02.2026 , 3 , 75 , 7.061
07.02.2026 , 2 , 75 , 7.061
07.02.2026 , 1 , 75 , 7.061
07.02.2026 , 0 , 75 , 7.061
06.02.2026 , 23 , 75 , 7.061
06.02.2026 , 22 , 75 , 7.061
06.02.2026 , 21 , 75 , 7.061
06.02.2026 , 20 , 75 , 7.061
06.02.2026 , 19 , 76 , 7.201
06.02.2026 , 18 , 77 , 7.344
06.02.2026 , 17 , 76 , 7.201
06.02.2026 , 16 , 75 , 7.061
06.02.2026 , 15 , 76 , 7.201
06.02.2026 , 14 , 75 , 7.061
06.02.2026 , 13 , 75 , 7.061
06.02.2026 , 12 , 76 , 7.201
06.02.2026 , 11 , 76 , 7.201
06.02.2026 , 10 , 76 , 7.201
06.02.2026 , 9 , 76 , 7.201
06.02.2026 , 8 , 76 , 7.201
06.02.2026 , 7 , 77 , 7.344
06.02.2026 , 6 , 77 , 7.344
06.02.2026 , 5 , 77 , 7.344
06.02.2026 , 4 , 76 , 7.201
06.02.2026 , 3 , 76 , 7.201
06.02.2026 , 2 , 76 , 7.201
06.02.2026 , 1 , 75 , 7.061
06.02.2026 , 0 , 76 , 7.201
05.02.2026 , 23 , 75 , 7.061
05.02.2026 , 22 , 76 , 7.201
05.02.2026 , 21 , 76 , 7.201
05.02.2026 , 20 , 76 , 7.201
05.02.2026 , 19 , 75 , 7.061
05.02.2026 , 18 , 77 , 7.344
05.02.2026 , 17 , 77 , 7.344
05.02.2026 , 16 , 77 , 7.344
05.02.2026 , 15 , 77 , 7.344
05.02.2026 , 14 , 76 , 7.201
05.02.2026 , 13 , 76 , 7.201
05.02.2026 , 12 , 75 , 7.061
05.02.2026 , 11 , 76 , 7.201
05.02.2026 , 10 , 76 , 7.201
05.02.2026 , 9 , 77 , 7.344
05.02.2026 , 8 , 77 , 7.344
05.02.2026 , 7 , 75 , 7.061
05.02.2026 , 6 , 75 , 7.061
05.02.2026 , 5 , 74 , 6.921
05.02.2026 , 4 , 75 , 7.061
05.02.2026 , 3 , 74 , 6.921
05.02.2026 , 2 , 75 , 7.061
05.02.2026 , 1 , 63 , 5.505
05.02.2026 , 0 , 74 , 6.921
04.02.2026 , 23 , 74 , 6.921
04.02.2026 , 22 , 75 , 7.061
04.02.2026 , 21 , 72 , 6.648
04.02.2026 , 20 , 72 , 6.648
04.02.2026 , 19 , 72 , 6.648
04.02.2026 , 18 , 74 , 6.921
04.02.2026 , 17 , 74 , 6.921
04.02.2026 , 16 , 82 , 8.066
04.02.2026 , 15 , 73 , 6.784
04.02.2026 , 14 , 73 , 6.784
04.02.2026 , 13 , 72 , 6.648
04.02.2026 , 12 , 22 , 0.641
04.02.2026 , 11 , 22 , 0.641
04.02.2026 , 10 , 22 , 0.641
04.02.2026 , 9 , 22 , 0.641
04.02.2026 , 8 , 22 , 0.641
04.02.2026 , 7 , 22 , 0.641
04.02.2026 , 6 , 21 , 0.558
04.02.2026 , 5 , 21 , 0.558
04.02.2026 , 4 , 21 , 0.558
04.02.2026 , 3 , 21 , 0.558
04.02.2026 , 2 , 73 , 6.784
04.02.2026 , 1 , 63 , 5.505
04.02.2026 , 0 , 74 , 6.921
03.02.2026 , 23 , 73 , 6.784
03.02.2026 , 22 , 74 , 6.921
03.02.2026 , 21 , 74 , 6.921
03.02.2026 , 20 , 75 , 7.061
03.02.2026 , 19 , 74 , 6.921
03.02.2026 , 18 , 75 , 7.061
03.02.2026 , 17 , 77 , 7.344
03.02.2026 , 16 , 76 , 7.201
03.02.2026 , 15 , 87 , 8.827
03.02.2026 , 14 , 76 , 7.201
03.02.2026 , 13 , 24 , 0.822
03.02.2026 , 12 , 24 , 0.822
03.02.2026 , 11 , 24 , 0.822
03.02.2026 , 10 , 24 , 0.822
03.02.2026 , 9 , 25 , 0.920
03.02.2026 , 8 , 25 , 0.920
03.02.2026 , 7 , 25 , 0.920
03.02.2026 , 6 , 30 , 1.470
03.02.2026 , 5 , 23 , 0.730
03.02.2026 , 4 , 23 , 0.730
03.02.2026 , 3 , 23 , 0.730
03.02.2026 , 2 , 24 , 0.822
03.02.2026 , 1 , 72 , 6.648
03.02.2026 , 0 , 71 , 6.513
02.02.2026 , 23 , 71 , 6.513
02.02.2026 , 22 , 72 , 6.648
02.02.2026 , 21 , 76 , 7.201
02.02.2026 , 20 , 76 , 7.201
02.02.2026 , 19 , 76 , 7.201
02.02.2026 , 18 , 77 , 7.344
02.02.2026 , 17 , 78 , 7.488
02.02.2026 , 16 , 79 , 7.633
02.02.2026 , 15 , 76 , 7.201
02.02.2026 , 14 , 79 , 7.633
02.02.2026 , 13 , 72 , 6.648
02.02.2026 , 12 , 28 , 1.241
02.02.2026 , 11 , 28 , 1.241
02.02.2026 , 10 , 28 , 1.241
02.02.2026 , 9 , 28 , 1.241
02.02.2026 , 8 , 29 , 1.354
02.02.2026 , 7 , 29 , 1.354
02.02.2026 , 6 , 28 , 1.241
02.02.2026 , 5 , 28 , 1.241
02.02.2026 , 4 , 28 , 1.241
02.02.2026 , 3 , 28 , 1.241
02.02.2026 , 2 , 77 , 7.344
02.02.2026 , 1 , 77 , 7.344
02.02.2026 , 0 , 77 , 7.344
01.02.2026 , 23 , 77 , 7.344
01.02.2026 , 22 , 78 , 7.488
01.02.2026 , 21 , 78 , 7.488
01.02.2026 , 20 , 79 , 7.633
01.02.2026 , 19 , 79 , 7.633
01.02.2026 , 18 , 80 , 7.780
01.02.2026 , 17 , 75 , 7.061
01.02.2026 , 16 , 76 , 7.201
01.02.2026 , 15 , 76 , 7.201
01.02.2026 , 14 , 75 , 7.061
01.02.2026 , 13 , 74 , 6.921
01.02.2026 , 12 , 32 , 1.706
01.02.2026 , 11 , 32 , 1.706
01.02.2026 , 10 , 32 , 1.706
01.02.2026 , 9 , 32 , 1.706
01.02.2026 , 8 , 32 , 1.706
01.02.2026 , 7 , 32 , 1.706
01.02.2026 , 6 , 28 , 1.241
01.02.2026 , 5 , 28 , 1.241
01.02.2026 , 4 , 28 , 1.241
01.02.2026 , 3 , 28 , 1.241
01.02.2026 , 2 , 77 , 7.344
01.02.2026 , 1 , 66 , 5.874
01.02.2026 , 0 , 77 , 7.344
31.01.2026 , 23 , 77 , 7.344
31.01.2026 , 22 , 77 , 7.344
31.01.2026 , 21 , 78 , 7.488
31.01.2026 , 20 , 77 , 7.344
31.01.2026 , 19 , 76 , 7.201
31.01.2026 , 18 , 77 , 7.344
31.01.2026 , 17 , 75 , 7.061
31.01.2026 , 16 , 75 , 7.061
31.01.2026 , 15 , 47 , 3.544
31.01.2026 , 14 , 47 , 3.544
31.01.2026 , 13 , 46 , 3.421
31.01.2026 , 12 , 69 , 6.252
31.01.2026 , 11 , 67 , 5.999
31.01.2026 , 10 , 69 , 6.252
31.01.2026 , 9 , 33 , 1.826
31.01.2026 , 8 , 33 , 1.826
31.01.2026 , 7 , 33 , 1.826
31.01.2026 , 6 , 32 , 1.706
31.01.2026 , 5 , 32 , 1.706
31.01.2026 , 4 , 32 , 1.706
31.01.2026 , 3 , 32 , 1.706
31.01.2026 , 2 , 68 , 6.125
31.01.2026 , 1 , 76 , 7.201
31.01.2026 , 0 , 76 , 7.201
30.01.2026 , 23 , 77 , 7.344
30.01.2026 , 22 , 77 , 7.344
30.01.2026 , 21 , 76 , 7.201
30.01.2026 , 20 , 77 , 7.344
30.01.2026 , 19 , 77 , 7.344
30.01.2026 , 18 , 75 , 7.061
30.01.2026 , 17 , 33 , 1.826
30.01.2026 , 16 , 33 , 1.826
30.01.2026 , 15 , 33 , 1.826
30.01.2026 , 14 , 33 , 1.826
30.01.2026 , 13 , 33 , 1.826
30.01.2026 , 12 , 33 , 1.826
30.01.2026 , 11 , 32 , 1.706
30.01.2026 , 10 , 32 , 1.706
30.01.2026 , 9 , 32 , 1.706
30.01.2026 , 8 , 31 , 1.587
30.01.2026 , 7 , 28 , 1.241
30.01.2026 , 6 , 27 , 1.130
30.01.2026 , 5 , 26 , 1.023
30.01.2026 , 4 , 26 , 1.023
30.01.2026 , 3 , 25 , 0.920
30.01.2026 , 2 , 25 , 0.920
30.01.2026 , 1 , 25 , 0.920
30.01.2026 , 0 , 75 , 7.061
29.01.2026 , 23 , 74 , 6.921
29.01.2026 , 22 , 75 , 7.061
29.01.2026 , 21 , 75 , 7.061
29.01.2026 , 20 , 75 , 7.061
29.01.2026 , 19 , 75 , 7.061
29.01.2026 , 18 , 76 , 7.201
29.01.2026 , 17 , 80 , 7.780
29.01.2026 , 16 , 28 , 1.241
29.01.2026 , 15 , 28 , 1.241
29.01.2026 , 14 , 28 , 1.241
29.01.2026 , 13 , 28 , 1.241
29.01.2026 , 12 , 28 , 1.241
29.01.2026 , 11 , 28 , 1.241
29.01.2026 , 10 , 28 , 1.241
29.01.2026 , 9 , 28 , 1.241
29.01.2026 , 8 , 28 , 1.241
29.01.2026 , 7 , 28 , 1.241
29.01.2026 , 6 , 24 , 0.822
29.01.2026 , 5 , 24 , 0.822
29.01.2026 , 4 , 24 , 0.822
29.01.2026 , 3 , 23 , 0.730
29.01.2026 , 2 , 24 , 0.822
29.01.2026 , 1 , 28 , 1.241
29.01.2026 , 0 , 28 , 1.241
