Date;Product;Delivery Period;Price (EUR/MWh);Volume (MW)
2026-03-09;QH 93;23:00 - 23:15;149.1;0.0
2026-03-09;QH 94;23:15 - 23:30;139.12;0.0
2026-03-09;QH 95;23:30 - 23:45;136.02;0.0
2026-03-09;QH 96;23:45 - 00:00;130.08;0.0
2026-03-10;QH 1;00:00 - 00:15;135.62;0.0
2026-03-10;QH 2;00:15 - 00:30;129.99;0.0
2026-03-10;QH 3;00:30 - 00:45;128.35;0.0
2026-03-10;QH 4;00:45 - 01:00;127.8;0.0
2026-03-10;QH 5;01:00 - 01:15;128.87;0.0
2026-03-10;QH 6;01:15 - 01:30;127.96;0.0
2026-03-10;QH 7;01:30 - 01:45;127.79;0.0
2026-03-10;QH 8;01:45 - 02:00;125.83;0.0
2026-03-10;QH 9;02:00 - 02:15;125.55;0.0
2026-03-10;QH 10;02:15 - 02:30;125.26;0.0
2026-03-10;QH 11;02:30 - 02:45;126.81;0.0
2026-03-10;QH 12;02:45 - 03:00;129.98;0.0
2026-03-10;QH 13;03:00 - 03:15;122.94;0.0
2026-03-10;QH 14;03:15 - 03:30;125.34;0.0
2026-03-10;QH 15;03:30 - 03:45;130.62;0.0
2026-03-10;QH 16;03:45 - 04:00;135.03;0.0
2026-03-10;QH 17;04:00 - 04:15;126.27;0.0
2026-03-10;QH 18;04:15 - 04:30;133.59;0.0
2026-03-10;QH 19;04:30 - 04:45;142.94;0.0
2026-03-10;QH 20;04:45 - 05:00;160.04;0.0
2026-03-10;QH 21;05:00 - 05:15;140.01;0.0
2026-03-10;QH 22;05:15 - 05:30;166.09;0.0
2026-03-10;QH 23;05:30 - 05:45;174.62;0.0
2026-03-10;QH 24;05:45 - 06:00;191.69;0.0
2026-03-10;QH 25;06:00 - 06:15;193.99;0.0
2026-03-10;QH 26;06:15 - 06:30;199.92;0.0
2026-03-10;QH 27;06:30 - 06:45;174.03;0.0
2026-03-10;QH 28;06:45 - 07:00;152.74;0.0
2026-03-10;QH 29;07:00 - 07:15;227.58;0.0
2026-03-10;QH 30;07:15 - 07:30;176.38;0.0
2026-03-10;QH 31;07:30 - 07:45;154.99;0.0
2026-03-10;QH 32;07:45 - 08:00;134.33;0.0
2026-03-10;QH 33;08:00 - 08:15;176.52;0.0
2026-03-10;QH 34;08:15 - 08:30;141.8;0.0
2026-03-10;QH 35;08:30 - 08:45;128.18;0.0
2026-03-10;QH 36;08:45 - 09:00;115.65;0.0
2026-03-10;QH 37;09:00 - 09:15;145.14;0.0
2026-03-10;QH 38;09:15 - 09:30;112.23;0.0
2026-03-10;QH 39;09:30 - 09:45;112.01;0.0
2026-03-10;QH 40;09:45 - 10:00;103.62;0.0
2026-03-10;QH 41;10:00 - 10:15;117.37;0.0
2026-03-10;QH 42;10:15 - 10:30;106.73;0.0
2026-03-10;QH 43;10:30 - 10:45;98.7;0.0
2026-03-10;QH 44;10:45 - 11:00;92.37;0.0
2026-03-10;QH 45;11:00 - 11:15;96.54;0.0
2026-03-10;QH 46;11:15 - 11:30;90.57;0.0
2026-03-10;QH 47;11:30 - 11:45;87.66;0.0
2026-03-10;QH 48;11:45 - 12:00;90.99;0.0
2026-03-10;QH 49;12:00 - 12:15;93.88;0.0
2026-03-10;QH 50;12:15 - 12:30;94.51;0.0
2026-03-10;QH 51;12:30 - 12:45;98.63;0.0
2026-03-10;QH 52;12:45 - 13:00;101.13;0.0
2026-03-10;QH 53;13:00 - 13:15;101.99;0.0
2026-03-10;QH 54;13:15 - 13:30;104.11;0.0
2026-03-10;QH 55;13:30 - 13:45;103.92;0.0
2026-03-10;QH 56;13:45 - 14:00;118.64;0.0
2026-03-10;QH 57;14:00 - 14:15;109.75;0.0
2026-03-10;QH 58;14:15 - 14:30;109.27;0.0
2026-03-10;QH 59;14:30 - 14:45;116.27;0.0
2026-03-10;QH 60;14:45 - 15:00;150.68;0.0
2026-03-10;QH 61;15:00 - 15:15;107.36;0.0
2026-03-10;QH 62;15:15 - 15:30;136.35;0.0
2026-03-10;QH 63;15:30 - 15:45;154.15;0.0
2026-03-10;QH 64;15:45 - 16:00;179.71;0.0
2026-03-10;QH 65;16:00 - 16:15;132.15;0.0
2026-03-10;QH 66;16:15 - 16:30;158.79;0.0
2026-03-10;QH 67;16:30 - 16:45;189.5;0.0
2026-03-10;QH 68;16:45 - 17:00;235.57;0.0
2026-03-10;QH 69;17:00 - 17:15;201.56;0.0
2026-03-10;QH 70;17:15 - 17:30;224.35;0.0
2026-03-10;QH 71;17:30 - 17:45;229.88;0.0
2026-03-10;QH 72;17:45 - 18:00;217.12;0.0
2026-03-10;QH 73;18:00 - 18:15;237.15;0.0
2026-03-10;QH 74;18:15 - 18:30;205.31;0.0
2026-03-10;QH 75;18:30 - 18:45;195.06;0.0
2026-03-10;QH 76;18:45 - 19:00;167.0;0.0
2026-03-10;QH 77;19:00 - 19:15;175.58;0.0
2026-03-10;QH 78;19:15 - 19:30;161.86;0.0
2026-03-10;QH 79;19:30 - 19:45;149.87;0.0
2026-03-10;QH 80;19:45 - 20:00;150.88;0.0
2026-03-10;QH 81;20:00 - 20:15;154.35;0.0
2026-03-10;QH 82;20:15 - 20:30;149.55;0.0
2026-03-10;QH 83;20:30 - 20:45;138.39;0.0
2026-03-10;QH 84;20:45 - 21:00;117.58;0.0
2026-03-10;QH 85;21:00 - 21:15;139.81;0.0
2026-03-10;QH 86;21:15 - 21:30;129.32;0.0
2026-03-10;QH 87;21:30 - 21:45;118.78;0.0
2026-03-10;QH 88;21:45 - 22:00;105.11;0.0
2026-03-10;QH 89;22:00 - 22:15;120.0;0.0
2026-03-10;QH 90;22:15 - 22:30;102.14;0.0
2026-03-10;QH 91;22:30 - 22:45;95.29;0.0
2026-03-10;QH 92;22:45 - 23:00;76.9;0.0
2026-03-10;QH 93;23:00 - 23:15;92.02;0.0
2026-03-10;QH 94;23:15 - 23:30;88.96;0.0
2026-03-10;QH 95;23:30 - 23:45;84.57;0.0
2026-03-10;QH 96;23:45 - 00:00;70.28;0.0
2026-03-11;QH 1;00:00 - 00:15;80.74;0.0
2026-03-11;QH 2;00:15 - 00:30;73.2;0.0
2026-03-11;QH 3;00:30 - 00:45;68.7;0.0
2026-03-11;QH 4;00:45 - 01:00;60.58;0.0
2026-03-11;QH 5;01:00 - 01:15;68.38;0.0
2026-03-11;QH 6;01:15 - 01:30;66.97;0.0
2026-03-11;QH 7;01:30 - 01:45;64.0;0.0
2026-03-11;QH 8;01:45 - 02:00;62.35;0.0
2026-03-11;QH 9;02:00 - 02:15;65.4;0.0
2026-03-11;QH 10;02:15 - 02:30;65.41;0.0
2026-03-11;QH 11;02:30 - 02:45;62.91;0.0
2026-03-11;QH 12;02:45 - 03:00;60.57;0.0
2026-03-11;QH 13;03:00 - 03:15;57.48;0.0
2026-03-11;QH 14;03:15 - 03:30;52.9;0.0
2026-03-11;QH 15;03:30 - 03:45;53.51;0.0
2026-03-11;QH 16;03:45 - 04:00;60.4;0.0
2026-03-11;QH 17;04:00 - 04:15;59.0;0.0
2026-03-11;QH 18;04:15 - 04:30;58.41;0.0
2026-03-11;QH 19;04:30 - 04:45;66.42;0.0
2026-03-11;QH 20;04:45 - 05:00;74.31;0.0
2026-03-11;QH 21;05:00 - 05:15;56.34;0.0
2026-03-11;QH 22;05:15 - 05:30;69.1;0.0
2026-03-11;QH 23;05:30 - 05:45;82.02;0.0
2026-03-11;QH 24;05:45 - 06:00;76.01;0.0
2026-03-11;QH 25;06:00 - 06:15;91.73;0.0
2026-03-11;QH 26;06:15 - 06:30;86.81;0.0
2026-03-11;QH 27;06:30 - 06:45;81.9;0.0
2026-03-11;QH 28;06:45 - 07:00;63.04;0.0
2026-03-11;QH 29;07:00 - 07:15;89.85;0.0
2026-03-11;QH 30;07:15 - 07:30;78.7;0.0
2026-03-11;QH 31;07:30 - 07:45;74.46;0.0
2026-03-11;QH 32;07:45 - 08:00;59.0;0.0
2026-03-11;QH 33;08:00 - 08:15;81.15;0.0
2026-03-11;QH 34;08:15 - 08:30;69.91;0.0
2026-03-11;QH 35;08:30 - 08:45;56.49;0.0
2026-03-11;QH 36;08:45 - 09:00;24.23;0.0
2026-03-11;QH 37;09:00 - 09:15;56.03;0.0
2026-03-11;QH 38;09:15 - 09:30;35.0;0.0
2026-03-11;QH 39;09:30 - 09:45;13.78;0.0
2026-03-11;QH 40;09:45 - 10:00;0.1;0.0
2026-03-11;QH 41;10:00 - 10:15;23.8;0.0
2026-03-11;QH 42;10:15 - 10:30;11.82;0.0
2026-03-11;QH 43;10:30 - 10:45;8.26;0.0
2026-03-11;QH 44;10:45 - 11:00;4.91;0.0
2026-03-11;QH 45;11:00 - 11:15;7.08;0.0
2026-03-11;QH 46;11:15 - 11:30;10.04;0.0
2026-03-11;QH 47;11:30 - 11:45;10.1;0.0
2026-03-11;QH 48;11:45 - 12:00;12.43;0.0
2026-03-11;QH 49;12:00 - 12:15;4.04;0.0
2026-03-11;QH 50;12:15 - 12:30;10.69;0.0
2026-03-11;QH 51;12:30 - 12:45;20.0;0.0
2026-03-11;QH 52;12:45 - 13:00;29.82;0.0
2026-03-11;QH 53;13:00 - 13:15;24.32;0.0
2026-03-11;QH 54;13:15 - 13:30;33.96;0.0
2026-03-11;QH 55;13:30 - 13:45;50.81;0.0
2026-03-11;QH 56;13:45 - 14:00;80.0;0.0
2026-03-11;QH 57;14:00 - 14:15;52.36;0.0
2026-03-11;QH 58;14:15 - 14:30;73.68;0.0
2026-03-11;QH 59;14:30 - 14:45;85.7;0.0
2026-03-11;QH 60;14:45 - 15:00;105.58;0.0
2026-03-11;QH 61;15:00 - 15:15;69.92;0.0
2026-03-11;QH 62;15:15 - 15:30;100.77;0.0
2026-03-11;QH 63;15:30 - 15:45;118.19;0.0
2026-03-11;QH 64;15:45 - 16:00;127.54;0.0
2026-03-11;QH 65;16:00 - 16:15;105.32;0.0
2026-03-11;QH 66;16:15 - 16:30;125.99;0.0
2026-03-11;QH 67;16:30 - 16:45;130.52;0.0
2026-03-11;QH 68;16:45 - 17:00;153.28;0.0
2026-03-11;QH 69;17:00 - 17:15;138.05;0.0
2026-03-11;QH 70;17:15 - 17:30;147.61;0.0
2026-03-11;QH 71;17:30 - 17:45;157.62;0.0
2026-03-11;QH 72;17:45 - 18:00;169.27;0.0
2026-03-11;QH 73;18:00 - 18:15;154.87;0.0
2026-03-11;QH 74;18:15 - 18:30;159.66;0.0
2026-03-11;QH 75;18:30 - 18:45;159.56;0.0
2026-03-11;QH 76;18:45 - 19:00;152.79;0.0
2026-03-11;QH 77;19:00 - 19:15;149.51;0.0
2026-03-11;QH 78;19:15 - 19:30;136.0;0.0
2026-03-11;QH 79;19:30 - 19:45;122.68;0.0
2026-03-11;QH 80;19:45 - 20:00;120.57;0.0
2026-03-11;QH 81;20:00 - 20:15;132.19;0.0
2026-03-11;QH 82;20:15 - 20:30;123.92;0.0
2026-03-11;QH 83;20:30 - 20:45;118.83;0.0
2026-03-11;QH 84;20:45 - 21:00;117.17;0.0
2026-03-11;QH 85;21:00 - 21:15;124.73;0.0
2026-03-11;QH 86;21:15 - 21:30;120.26;0.0
2026-03-11;QH 87;21:30 - 21:45;120.18;0.0
2026-03-11;QH 88;21:45 - 22:00;112.04;0.0
2026-03-11;QH 89;22:00 - 22:15;121.63;0.0
2026-03-11;QH 90;22:15 - 22:30;102.41;0.0
2026-03-11;QH 91;22:30 - 22:45;99.99;0.0
2026-03-11;QH 92;22:45 - 23:00;91.98;0.0
2026-03-11;QH 93;23:00 - 23:15;110.37;0.0
2026-03-11;QH 94;23:15 - 23:30;101.8;0.0
2026-03-11;QH 95;23:30 - 23:45;98.44;0.0
2026-03-11;QH 96;23:45 - 00:00;90.13;0.0
2026-03-12;QH 1;00:00 - 00:15;99.67;0.0
2026-03-12;QH 2;00:15 - 00:30;89.98;0.0
2026-03-12;QH 3;00:30 - 00:45;90.44;0.0
2026-03-12;QH 4;00:45 - 01:00;88.08;0.0
2026-03-12;QH 5;01:00 - 01:15;89.82;0.0
2026-03-12;QH 6;01:15 - 01:30;86.43;0.0
2026-03-12;QH 7;01:30 - 01:45;89.09;0.0
2026-03-12;QH 8;01:45 - 02:00;89.91;0.0
2026-03-12;QH 9;02:00 - 02:15;91.21;0.0
2026-03-12;QH 10;02:15 - 02:30;89.89;0.0
2026-03-12;QH 11;02:30 - 02:45;87.4;0.0
2026-03-12;QH 12;02:45 - 03:00;85.94;0.0
2026-03-12;QH 13;03:00 - 03:15;92.93;0.0
2026-03-12;QH 14;03:15 - 03:30;88.49;0.0
2026-03-12;QH 15;03:30 - 03:45;88.5;0.0
2026-03-12;QH 16;03:45 - 04:00;88.73;0.0
2026-03-12;QH 17;04:00 - 04:15;91.27;0.0
2026-03-12;QH 18;04:15 - 04:30;88.5;0.0
2026-03-12;QH 19;04:30 - 04:45;101.06;0.0
2026-03-12;QH 20;04:45 - 05:00;118.46;0.0
2026-03-12;QH 21;05:00 - 05:15;109.44;0.0
2026-03-12;QH 22;05:15 - 05:30;126.31;0.0
2026-03-12;QH 23;05:30 - 05:45;139.66;0.0
2026-03-12;QH 24;05:45 - 06:00;147.26;0.0
2026-03-12;QH 25;06:00 - 06:15;151.64;0.0
2026-03-12;QH 26;06:15 - 06:30;143.11;0.0
2026-03-12;QH 27;06:30 - 06:45;139.45;0.0
2026-03-12;QH 28;06:45 - 07:00;114.36;0.0
2026-03-12;QH 29;07:00 - 07:15;134.43;0.0
2026-03-12;QH 30;07:15 - 07:30;109.44;0.0
2026-03-12;QH 31;07:30 - 07:45;101.0;0.0
2026-03-12;QH 32;07:45 - 08:00;74.35;0.0
2026-03-12;QH 33;08:00 - 08:15;115.21;0.0
2026-03-12;QH 34;08:15 - 08:30;88.88;0.0
2026-03-12;QH 35;08:30 - 08:45;65.91;0.0
2026-03-12;QH 36;08:45 - 09:00;49.99;0.0
2026-03-12;QH 37;09:00 - 09:15;73.06;0.0
2026-03-12;QH 38;09:15 - 09:30;29.86;0.0
2026-03-12;QH 39;09:30 - 09:45;8.86;0.0
2026-03-12;QH 40;09:45 - 10:00;2.12;0.0
2026-03-12;QH 41;10:00 - 10:15;2.33;0.0
2026-03-12;QH 42;10:15 - 10:30;0.0;0.0
2026-03-12;QH 43;10:30 - 10:45;-0.04;0.0
2026-03-12;QH 44;10:45 - 11:00;-0.92;0.0
2026-03-12;QH 45;11:00 - 11:15;-0.61;0.0
2026-03-12;QH 46;11:15 - 11:30;-1.0;0.0
2026-03-12;QH 47;11:30 - 11:45;-1.09;0.0
2026-03-12;QH 48;11:45 - 12:00;-1.67;0.0
2026-03-12;QH 49;12:00 - 12:15;-1.83;0.0
2026-03-12;QH 50;12:15 - 12:30;-2.2;0.0
2026-03-12;QH 51;12:30 - 12:45;-2.94;0.0
2026-03-12;QH 52;12:45 - 13:00;-3.0;0.0
2026-03-12;QH 53;13:00 - 13:15;-1.72;0.0
2026-03-12;QH 54;13:15 - 13:30;-1.32;0.0
2026-03-12;QH 55;13:30 - 13:45;-0.56;0.0
2026-03-12;QH 56;13:45 - 14:00;-0.01;0.0
2026-03-12;QH 57;14:00 - 14:15;0.0;0.0
2026-03-12;QH 58;14:15 - 14:30;0.1;0.0
2026-03-12;QH 59;14:30 - 14:45;4.01;0.0
2026-03-12;QH 60;14:45 - 15:00;10.29;0.0
2026-03-12;QH 61;15:00 - 15:15;10.03;0.0
2026-03-12;QH 62;15:15 - 15:30;35.6;0.0
2026-03-12;QH 63;15:30 - 15:45;62.0;0.0
2026-03-12;QH 64;15:45 - 16:00;97.03;0.0
2026-03-12;QH 65;16:00 - 16:15;67.62;0.0
2026-03-12;QH 66;16:15 - 16:30;93.35;0.0
2026-03-12;QH 67;16:30 - 16:45;109.01;0.0
2026-03-12;QH 68;16:45 - 17:00;164.33;0.0
2026-03-12;QH 69;17:00 - 17:15;120.33;0.0
2026-03-12;QH 70;17:15 - 17:30;117.67;0.0
2026-03-12;QH 71;17:30 - 17:45;110.97;0.0
2026-03-12;QH 72;17:45 - 18:00;110.49;0.0
2026-03-12;QH 73;18:00 - 18:15;119.65;0.0
2026-03-12;QH 74;18:15 - 18:30;110.62;0.0
2026-03-12;QH 75;18:30 - 18:45;99.81;0.0
2026-03-12;QH 76;18:45 - 19:00;93.91;0.0
2026-03-12;QH 77;19:00 - 19:15;97.66;0.0
2026-03-12;QH 78;19:15 - 19:30;86.91;0.0
2026-03-12;QH 79;19:30 - 19:45;81.83;0.0
2026-03-12;QH 80;19:45 - 20:00;79.88;0.0
2026-03-12;QH 81;20:00 - 20:15;78.54;0.0
2026-03-12;QH 82;20:15 - 20:30;79.31;0.0
2026-03-12;QH 83;20:30 - 20:45;68.28;0.0
2026-03-12;QH 84;20:45 - 21:00;53.03;0.0
2026-03-12;QH 85;21:00 - 21:15;83.08;0.0
2026-03-12;QH 86;21:15 - 21:30;67.31;0.0
2026-03-12;QH 87;21:30 - 21:45;59.97;0.0
2026-03-12;QH 88;21:45 - 22:00;39.86;0.0
2026-03-12;QH 89;22:00 - 22:15;24.2;0.0
2026-03-12;QH 90;22:15 - 22:30;19.88;0.0
2026-03-12;QH 91;22:30 - 22:45;17.43;0.0
2026-03-12;QH 92;22:45 - 23:00;10.1;0.0
2026-03-12;QH 93;23:00 - 23:15;9.43;0.0
2026-03-12;QH 94;23:15 - 23:30;8.87;0.0
2026-03-12;QH 95;23:30 - 23:45;4.28;0.0
2026-03-12;QH 96;23:45 - 00:00;2.58;0.0
2026-03-13;QH 1;00:00 - 00:15;6.7;0.0
2026-03-13;QH 2;00:15 - 00:30;3.58;0.0
2026-03-13;QH 3;00:30 - 00:45;2.55;0.0
2026-03-13;QH 4;00:45 - 01:00;3.58;0.0
2026-03-13;QH 5;01:00 - 01:15;4.67;0.0
2026-03-13;QH 6;01:15 - 01:30;2.4;0.0
2026-03-13;QH 7;01:30 - 01:45;2.32;0.0
2026-03-13;QH 8;01:45 - 02:00;2.16;0.0
2026-03-13;QH 9;02:00 - 02:15;2.33;0.0
2026-03-13;QH 10;02:15 - 02:30;1.62;0.0
2026-03-13;QH 11;02:30 - 02:45;0.54;0.0
2026-03-13;QH 12;02:45 - 03:00;0.1;0.0
2026-03-13;QH 13;03:00 - 03:15;1.59;0.0
2026-03-13;QH 14;03:15 - 03:30;1.0;0.0
2026-03-13;QH 15;03:30 - 03:45;1.6;0.0
2026-03-13;QH 16;03:45 - 04:00;1.65;0.0
2026-03-13;QH 17;04:00 - 04:15;1.61;0.0
2026-03-13;QH 18;04:15 - 04:30;1.63;0.0
2026-03-13;QH 19;04:30 - 04:45;4.09;0.0
2026-03-13;QH 20;04:45 - 05:00;4.3;0.0
2026-03-13;QH 21;05:00 - 05:15;4.28;0.0
2026-03-13;QH 22;05:15 - 05:30;9.46;0.0
2026-03-13;QH 23;05:30 - 05:45;10.03;0.0
2026-03-13;QH 24;05:45 - 06:00;10.07;0.0
2026-03-13;QH 25;06:00 - 06:15;21.61;0.0
2026-03-13;QH 26;06:15 - 06:30;24.24;0.0
2026-03-13;QH 27;06:30 - 06:45;21.49;0.0
2026-03-13;QH 28;06:45 - 07:00;12.41;0.0
2026-03-13;QH 29;07:00 - 07:15;17.16;0.0
2026-03-13;QH 30;07:15 - 07:30;4.99;0.0
2026-03-13;QH 31;07:30 - 07:45;3.51;0.0
2026-03-13;QH 32;07:45 - 08:00;0.0;0.0
2026-03-13;QH 33;08:00 - 08:15;0.1;0.0
2026-03-13;QH 34;08:15 - 08:30;-0.01;0.0
2026-03-13;QH 35;08:30 - 08:45;-0.04;0.0
2026-03-13;QH 36;08:45 - 09:00;-1.01;0.0
2026-03-13;QH 37;09:00 - 09:15;-2.0;0.0
2026-03-13;QH 38;09:15 - 09:30;-4.58;0.0
2026-03-13;QH 39;09:30 - 09:45;-5.13;0.0
2026-03-13;QH 40;09:45 - 10:00;-8.28;0.0
2026-03-13;QH 41;10:00 - 10:15;-8.13;0.0
2026-03-13;QH 42;10:15 - 10:30;-8.19;0.0
2026-03-13;QH 43;10:30 - 10:45;-9.91;0.0
2026-03-13;QH 44;10:45 - 11:00;-9.77;0.0
2026-03-13;QH 45;11:00 - 11:15;-9.92;0.0
2026-03-13;QH 46;11:15 - 11:30;-9.37;0.0
2026-03-13;QH 47;11:30 - 11:45;-7.32;0.0
2026-03-13;QH 48;11:45 - 12:00;-6.78;0.0
2026-03-13;QH 49;12:00 - 12:15;-4.61;0.0
2026-03-13;QH 50;12:15 - 12:30;-2.72;0.0
2026-03-13;QH 51;12:30 - 12:45;-1.88;0.0
2026-03-13;QH 52;12:45 - 13:00;-1.0;0.0
2026-03-13;QH 53;13:00 - 13:15;-0.92;0.0
2026-03-13;QH 54;13:15 - 13:30;-0.01;0.0
2026-03-13;QH 55;13:30 - 13:45;0.01;0.0
2026-03-13;QH 56;13:45 - 14:00;5.61;0.0
2026-03-13;QH 57;14:00 - 14:15;4.5;0.0
2026-03-13;QH 58;14:15 - 14:30;13.38;0.0
2026-03-13;QH 59;14:30 - 14:45;53.6;0.0
2026-03-13;QH 60;14:45 - 15:00;116.8;0.0
2026-03-13;QH 61;15:00 - 15:15;41.59;0.0
2026-03-13;QH 62;15:15 - 15:30;85.68;0.0
2026-03-13;QH 63;15:30 - 15:45;127.6;0.0
2026-03-13;QH 64;15:45 - 16:00;150.37;0.0
2026-03-13;QH 65;16:00 - 16:15;115.04;0.0
2026-03-13;QH 66;16:15 - 16:30;131.01;0.0
2026-03-13;QH 67;16:30 - 16:45;151.01;0.0
2026-03-13;QH 68;16:45 - 17:00;170.66;0.0
2026-03-13;QH 69;17:00 - 17:15;136.42;0.0
